t              pw-with-periodic.fdtd_before_Ex_3_3_1.dat       incid
   0.19720531874156677E-008   0.360610720E-004   0.742426753E+000
   0.19874598529423526E-008   0.996098679E-004   0.673987091E+000
   0.20028665184690375E-008   0.157785908E-003   0.603606224E+000
   0.20182731839957224E-008   0.207922727E-003   0.533285797E+000
   0.20336798495224073E-008   0.247360382E-003   0.464804441E+000
   0.20490865150490922E-008   0.274535210E-003   0.399654657E+000
   0.20644931805757771E-008   0.288407085E-003   0.339002997E+000
   0.20798998461024620E-008   0.288389943E-003   0.283678293E+000
   0.20953065116291469E-008   0.275548489E-003   0.234181806E+000
   0.21107131771558318E-008   0.251312274E-003   0.190714717E+000
   0.21261198426825167E-008   0.218216257E-003   0.153221250E+000
   0.21415265082092017E-008   0.178629503E-003   0.121439107E+000
   0.21569331737358866E-008   0.135349925E-003   0.949515402E-001
   0.21723398392625715E-008   0.907958092E-004   0.732401162E-001
   0.21877465047892564E-008   0.475095003E-004   0.557315461E-001
   0.22031531703159413E-008   0.761573756E-005   0.418366529E-001
   0.22185598358426262E-008  -0.269116063E-004   0.309824776E-001
   0.22339665013693111E-008  -0.546827068E-004   0.226350129E-001
   0.22493731668959960E-008  -0.750635954E-004   0.163135678E-001
   0.22647798324226809E-008  -0.880100051E-004   0.115989950E-001
   0.22801864979493658E-008  -0.941292747E-004   0.813574903E-002
   0.22955931634760507E-008  -0.943626655E-004   0.562957767E-002
   0.23109998290027356E-008  -0.898769067E-004   0.384292332E-002
   0.23264064945294205E-008  -0.818489134E-004   0.258792378E-002
   0.23418131600561054E-008  -0.714706621E-004   0.171927153E-002
   0.23572198255827903E-008  -0.598851511E-004   0.112678274E-002
   0.23726264911094752E-008  -0.481546231E-004   0.728521787E-003
   0.23880331566361601E-008  -0.371656824E-004   0.464673503E-003
   0.24034398221628450E-008  -0.275301772E-004   0.292385434E-003
   0.24188464876895299E-008  -0.195483299E-004   0.181497526E-003
   0.24342531532162148E-008  -0.132517489E-004   0.111144625E-003
   0.24496598187428997E-008  -0.851114237E-005   0.671441812E-004
   0.24650664842695846E-008  -0.513574287E-005   0.400162171E-004
   0.24804731497962695E-008  -0.292669506E-005   0.235269799E-004
   0.24958798153229544E-008  -0.167216945E-005   0.136457738E-004
   0.25112864808496393E-008  -0.112723797E-005   0.780797654E-005
   0.25266931463763243E-008  -0.102042111E-005   0.440738540E-005
   0.25420998119030092E-008  -0.110108044E-005   0.245428532E-005
   0.25575064774296941E-008  -0.119854622E-005   0.134827371E-005
   0.25729131429563790E-008  -0.124903522E-005   0.730689692E-006
   0.25883198084830639E-008  -0.126801990E-005   0.390651081E-006
   0.26037264740097488E-008  -0.128746240E-005   0.206041534E-006
   0.26191331395364337E-008  -0.130402259E-005   0.107206738E-006
   0.26345398050631186E-008  -0.127403075E-005   0.550288100E-007
   0.26499464705898035E-008  -0.115287855E-005   0.278656120E-007
   0.26653531361164884E-008  -0.941168310E-006   0.139202907E-007
   0.26807598016431733E-008  -0.696050733E-006   0.686006674E-008
   0.26961664671698582E-008  -0.496055065E-006   0.333518213E-008
   0.27115731326965431E-008  -0.386654250E-006   0.159960090E-008
   0.27269797982232280E-008  -0.350092876E-006   0.756839258E-009
   0.27423864637499129E-008  -0.323728102E-006   0.353270718E-009
   0.27577931292765978E-008  -0.252216864E-006   0.162671751E-009
   0.27731997948032827E-008  -0.131910781E-006   0.738951747E-010
   0.27886064603299676E-008  -0.124054225E-007   0.331156179E-010
   0.28040131258566525E-008   0.452430946E-007   0.146402907E-010
   0.28194197913833374E-008   0.195212309E-007   0.638506912E-011
   0.28348264569100223E-008  -0.524080335E-007   0.274723148E-011
   0.28502331224367072E-008  -0.102630892E-006   0.116606963E-011
   0.28656397879633921E-008  -0.849336246E-007   0.488261233E-012
   0.28810464534900770E-008  -0.989899007E-008   0.201694808E-012
   0.28964531190167619E-008   0.650284591E-007   0.821932922E-013
   0.29118597845434468E-008   0.821600921E-007   0.330427349E-013
   0.29272664500701318E-008   0.295696587E-007   0.131048287E-013
   0.29426731155968167E-008  -0.498141581E-007   0.512719038E-014
   0.29580797811235016E-008  -0.926314954E-007   0.197895907E-014
   0.29734864466501865E-008  -0.651760743E-007   0.753537874E-015
   0.29888931121768714E-008   0.106086091E-007   0.283055435E-015
   0.30042997777035563E-008   0.752946931E-007   0.104890168E-015
   0.30197064432302412E-008   0.792211878E-007   0.383456381E-016
   0.30351131087569261E-008   0.211496705E-007   0.138291264E-016
   0.30505197742836110E-008  -0.518455359E-007   0.492005374E-017
   0.30659264398102959E-008  -0.823244335E-007   0.172688718E-017
   0.30813331053369808E-008  -0.476382525E-007   0.597936605E-018
   0.30967397708636657E-008   0.232858142E-007   0.204240574E-018
   0.31121464363903506E-008   0.739870956E-007   0.688243738E-019
   0.31275531019170355E-008   0.654370709E-007   0.228798238E-019
   0.31429597674437204E-008   0.610772233E-008   0.750328264E-020
   0.31583664329704053E-008  -0.560415749E-007   0.242756790E-020
   0.31737730984970902E-008  -0.723148403E-007   0.774795907E-021
   0.31891797640237751E-008  -0.314804538E-007   0.243948255E-021
   0.32045864295504600E-008   0.325622906E-007   0.757758329E-022
   0.32199930950771449E-008   0.687880828E-007   0.232198336E-022
   0.32353997606038298E-008   0.496615336E-007   0.701909659E-023
   0.32508064261305147E-008  -0.795187205E-008   0.209327969E-023
   0.32662130916571996E-008  -0.574474726E-007   0.615840191E-024
   0.32816197571838845E-008  -0.601075030E-007   0.178731796E-024
   0.32970264227105694E-008  -0.153604702E-007   0.511753606E-025
   0.33124330882372544E-008   0.399580742E-007   0.144548654E-025
   0.33278397537639393E-008   0.618317273E-007   0.402772233E-026
   0.33432464192906242E-008   0.340402444E-007   0.110721433E-026
   0.33586530848173091E-008  -0.198749035E-007   0.300259821E-027
   0.33740597503439940E-008  -0.564301530E-007   0.803256690E-028
   0.33894664158706789E-008  -0.472017625E-007   0.212001839E-028
   0.34048730813973638E-008  -0.880636009E-009   0.551972613E-029
   0.34202797469240487E-008   0.447001760E-007   0.141770637E-029
   0.34356864124507336E-008   0.533932294E-007   0.359239984E-030
   0.34510930779774185E-008   0.193514680E-007   0.897979060E-031
   0.34664997435041034E-008  -0.291855535E-007   0.221439611E-031
   0.34819064090307883E-008  -0.532484634E-007   0.538724616E-032
   0.34973130745574732E-008  -0.343705508E-007   0.129291366E-032
   0.35127197400841581E-008   0.112964997E-007   0.306098683E-033
   0.35281264056108430E-008   0.467299017E-007   0.714967233E-034
   0.35435330711375279E-008   0.439993926E-007   0.164740812E-034
   0.35589397366642128E-008   0.623384722E-008   0.374459379E-035
   0.35743464021908977E-008  -0.356495597E-007   0.844646752E-036
   0.35897530677175826E-008  -0.482165099E-007   0.187973046E-036
   0.36051597332442675E-008  -0.221611955E-007   0.405401251E-037
   0.36205663987709524E-008   0.208768753E-007   0.000000000E+000
   0.36359730642976373E-008   0.462567371E-007   0.000000000E+000
   0.36513797298243222E-008   0.341852697E-007   0.000000000E+000
   0.36667863953510071E-008  -0.489205476E-008   0.000000000E+000
   0.36821930608776920E-008  -0.392918551E-007   0.000000000E+000
   0.36975997264043770E-008  -0.417616484E-007   0.000000000E+000
   0.37130063919310619E-008  -0.110376455E-007   0.000000000E+000
   0.37284130574577468E-008   0.277365224E-007   0.000000000E+000
   0.37438197229844317E-008   0.435763141E-007   0.000000000E+000
   0.37592263885111166E-008   0.243963125E-007   0.000000000E+000
   0.37746330540378015E-008  -0.138137839E-007   0.000000000E+000
   0.37900397195644864E-008  -0.403072526E-007   0.000000000E+000
   0.38054463850911713E-008  -0.343120092E-007   0.000000000E+000
   0.38208530506178562E-008  -0.129188749E-008   0.000000000E+000
   0.38362597161445411E-008   0.319718154E-007   0.000000000E+000
   0.38516663816712260E-008   0.390970882E-007   0.000000000E+000
   0.38670730471979109E-008   0.150121018E-007   0.000000000E+000
   0.38824797127245958E-008  -0.205022737E-007   0.000000000E+000
   0.38978863782512807E-008  -0.390511445E-007   0.000000000E+000
   0.39132930437779656E-008  -0.263221125E-007   0.000000000E+000
   0.39286997093046505E-008   0.689546198E-008   0.000000000E+000
   0.39441063748313354E-008   0.338313804E-007   0.000000000E+000
   0.39595130403580203E-008   0.333045911E-007   0.000000000E+000
   0.39749197058847052E-008   0.636712016E-008   0.000000000E+000
   0.39903263714113901E-008  -0.250458854E-007   0.000000000E+000
   0.40057330369380750E-008  -0.359702135E-007   0.000000000E+000
   0.40211397024647599E-008  -0.182453661E-007   0.000000000E+000
   0.40365463679914448E-008   0.134236444E-007   0.000000000E+000
   0.40519530335181297E-008   0.336482060E-007   0.000000000E+000
   0.40673596990448146E-008   0.267037965E-007   0.000000000E+000
   0.40827663645714996E-008  -0.125857191E-008   0.000000000E+000
   0.40981730300981845E-008  -0.276077223E-007   0.000000000E+000
   0.41135796956248694E-008  -0.315396456E-007   0.000000000E+000
   0.41289863611515543E-008  -0.104946185E-007   0.000000000E+000
   0.41443930266782392E-008   0.182633979E-007   0.000000000E+000
   0.41597996922049241E-008   0.317935509E-007   0.000000000E+000
   0.41752063577316090E-008   0.197703898E-007   0.000000000E+000
   0.41906130232582939E-008  -0.765724728E-008   0.000000000E+000
   0.42060196887849788E-008  -0.284041395E-007   0.000000000E+000
   0.42214263543116637E-008  -0.262219704E-007   0.000000000E+000
   0.42368330198383486E-008  -0.341269946E-008   0.000000000E+000
   0.42522396853650335E-008   0.214554792E-007   0.000000000E+000
   0.42676463508917184E-008   0.286500068E-007   0.000000000E+000
   0.42830530164184033E-008   0.129215056E-007   0.000000000E+000
   0.42984596819450882E-008  -0.127031718E-007   0.000000000E+000
   0.43138663474717731E-008  -0.276903140E-007   0.000000000E+000
   0.43292730129984580E-008  -0.204429256E-007   0.000000000E+000
   0.43446796785251429E-008   0.274143019E-008   0.000000000E+000
   0.43600863440518278E-008   0.231045760E-007   0.000000000E+000
   0.43754930095785127E-008   0.245924934E-007   0.000000000E+000
   0.43908996751051976E-008   0.650051213E-008   0.000000000E+000
   0.44063063406318825E-008  -0.163519971E-007   0.000000000E+000
   0.44217130061585674E-008  -0.257455888E-007   0.000000000E+000
   0.44371196716852523E-008  -0.145757655E-007   0.000000000E+000
   0.44525263372119372E-008   0.779642395E-008   0.000000000E+000
   0.44679330027386222E-008   0.233687594E-007   0.000000000E+000
   0.44833396682653071E-008   0.199729797E-007   0.000000000E+000
   0.44987463337919920E-008   0.769835751E-009   0.000000000E+000
   0.45141529993186769E-008  -0.186343332E-007   0.000000000E+000
   0.45295596648453618E-008  -0.228594779E-007   0.000000000E+000
   0.45449663303720467E-008  -0.893177265E-008   0.000000000E+000
   0.45603729958987316E-008   0.116657510E-007   0.000000000E+000
   0.45757796614254165E-008   0.224472014E-007   0.000000000E+000
   0.45911863269521014E-008   0.151094337E-007   0.000000000E+000
   0.46065929924787863E-008  -0.408937417E-008   0.000000000E+000
   0.46219996580054712E-008  -0.196450998E-007   0.000000000E+000
   0.46374063235321561E-008  -0.193191259E-007   0.000000000E+000
   0.46528129890588410E-008  -0.375652220E-008   0.000000000E+000
   0.46682196545855259E-008   0.143392782E-007   0.000000000E+000
   0.46836263201122108E-008   0.205664605E-007   0.000000000E+000
   0.46990329856388957E-008   0.102782050E-007   0.000000000E+000
   0.47144396511655806E-008  -0.797228239E-008   0.000000000E+000
   0.47298463166922655E-008  -0.195298515E-007   0.000000000E+000
   0.47452529822189504E-008  -0.153980118E-007   0.000000000E+000
   0.47606596477456353E-008   0.769700748E-009   0.000000000E+000
   0.47760663132723202E-008   0.158712385E-007   0.000000000E+000
   0.47914729787990051E-008   0.179663626E-007   0.000000000E+000
   0.48068796443256900E-008   0.570920644E-008   0.000000000E+000
   0.48222863098523749E-008  -0.108418403E-007   0.000000000E+000
   0.48376929753790598E-008  -0.184694926E-007   0.000000000E+000
   0.48530996409057447E-008  -0.113459677E-007   0.000000000E+000
   0.48685063064324297E-008   0.452862992E-008   0.000000000E+000
   0.48839129719591146E-008   0.163662079E-007   0.000000000E+000
   0.48993196374857995E-008   0.148862451E-007   0.000000000E+000
   0.49147263030124844E-008   0.158317004E-008   0.000000000E+000
   0.49301329685391693E-008  -0.127184503E-007   0.000000000E+000
   0.49455396340658542E-008  -0.166650693E-007   0.000000000E+000
   0.49609462995925391E-008  -0.738104156E-008   0.000000000E+000
   0.49763529651192240E-008   0.745886997E-008   0.000000000E+000
   0.49917596306459089E-008   0.159649076E-007   0.000000000E+000
   0.50071662961725938E-008   0.115529275E-007   0.000000000E+000
   0.50225729616992787E-008  -0.196887129E-008   0.000000000E+000
   0.50379796272259636E-008  -0.136688172E-007   0.000000000E+000
   0.50533862927526485E-008  -0.143238781E-007   0.000000000E+000
   0.50687929582793334E-008  -0.368369424E-008   0.000000000E+000
   0.50841996238060183E-008   0.954928581E-008   0.000000000E+000
   0.50996062893327032E-008   0.148306754E-007   0.000000000E+000
   0.51150129548593881E-008   0.817096790E-008   0.000000000E+000
   0.51304196203860730E-008  -0.486409046E-008   0.000000000E+000
   0.51458262859127579E-008  -0.137947236E-007   0.000000000E+000
   0.51612329514394428E-008  -0.116475727E-007   0.000000000E+000
   0.51766396169661277E-008  -0.393560740E-009   0.000000000E+000
   0.51920462824928126E-008   0.108313500E-007   0.000000000E+000
   0.52074529480194975E-008   0.131372344E-007   0.000000000E+000
   0.52228596135461824E-008   0.491558261E-008   0.000000000E+000
   0.52382662790728673E-008  -0.706441927E-008   0.000000000E+000
   0.52536729445995523E-008  -0.132221123E-007   0.000000000E+000
   0.52690796101262372E-008  -0.882258178E-008   0.000000000E+000
   0.52844862756529221E-008   0.239134046E-008   0.000000000E+000
   0.52998929411796070E-008   0.113708358E-007   0.000000000E+000
   0.53152996067062919E-008   0.110581446E-007   0.000000000E+000
   0.53307062722329768E-008   0.192822647E-008   0.000000000E+000
   0.53461129377596617E-008  -0.857158344E-008   0.000000000E+000
   0.53615196032863466E-008  -0.120909869E-007   0.000000000E+000
   0.53769262688130315E-008  -0.601303096E-008   0.000000000E+000
   0.53923329343397164E-008   0.461316585E-008   0.000000000E+000
   0.54077395998664013E-008   0.112592637E-007   0.000000000E+000
   0.54231462653930862E-008   0.875814266E-008   0.000000000E+000
   0.54385529309197711E-008  -0.685311363E-009   0.000000000E+000
   0.54539595964464560E-008  -0.942094491E-008   0.000000000E+000
   0.54693662619731409E-008  -0.105463043E-007   0.000000000E+000
   0.54847729274998258E-008  -0.335599282E-008   0.000000000E+000
   0.55001795930265107E-008   0.625100061E-008   0.000000000E+000
   0.55155862585531956E-008   0.106054863E-007   0.000000000E+000
   0.55309929240798805E-008   0.638640252E-008   0.000000000E+000
   0.55463995896065654E-008  -0.285464097E-008   0.000000000E+000
   0.55618062551332503E-008  -0.967463087E-008   0.000000000E+000
   0.55772129206599352E-008  -0.873017036E-008   0.000000000E+000
   0.55926195861866201E-008  -0.959007096E-009   0.000000000E+000
   0.56080262517133050E-008   0.731616367E-008   0.000000000E+000
   0.56234329172399899E-008   0.952772705E-008   0.000000000E+000
   0.56388395827666749E-008   0.407172918E-008   0.000000000E+000
   0.56542462482933598E-008  -0.454266535E-008   0.000000000E+000
   0.56696529138200447E-008  -0.941433420E-008   0.000000000E+000
   0.56850595793467296E-008  -0.677537759E-008   0.000000000E+000
   0.57004662448734145E-008   0.110051701E-008   0.000000000E+000
   0.57158729104000994E-008   0.784658205E-008   0.000000000E+000
   0.57312795759267843E-008   0.814632806E-008   0.000000000E+000
   0.57466862414534692E-008   0.191947347E-008   0.000000000E+000
   0.57620929069801541E-008  -0.574214543E-008   0.000000000E+000
   0.57774995725068390E-008  -0.873425865E-008   0.000000000E+000
   0.57929062380335239E-008  -0.480042939E-008   0.000000000E+000
   0.58083129035602088E-008   0.277428569E-008   0.000000000E+000
   0.58237195690868937E-008   0.790072541E-008   0.000000000E+000
   0.58391262346135786E-008   0.657758026E-008   0.000000000E+000
   0.58545329001402635E-008   0.101740838E-010   0.000000000E+000
   0.58699395656669484E-008  -0.647125287E-008   0.000000000E+000
   0.58853462311936333E-008  -0.773447972E-008   0.000000000E+000
   0.59007528967203182E-008  -0.290599900E-008   0.000000000E+000
   0.59161595622470031E-008   0.404083167E-008   0.000000000E+000
   0.59315662277736880E-008   0.755143592E-008   0.000000000E+000
   0.59469728933003729E-008   0.492862728E-008   0.000000000E+000
   0.59623795588270578E-008  -0.160045976E-008   0.000000000E+000
   0.59777862243537427E-008  -0.676861900E-008   0.000000000E+000
   0.59931928898804276E-008  -0.651508358E-008   0.000000000E+000
   0.60085995554071125E-008  -0.117283872E-008   0.000000000E+000
   0.60240062209337975E-008   0.490225549E-008   0.000000000E+000
   0.60394128864604824E-008   0.688000057E-008   0.000000000E+000
   0.60548195519871673E-008   0.329362715E-008   0.000000000E+000
   0.60702262175138522E-008  -0.288031066E-008   0.000000000E+000
   0.60856328830405371E-008  -0.668811762E-008   0.000000000E+000
   0.61010395485672220E-008  -0.517117638E-008   0.000000000E+000
   0.61164462140939069E-008   0.339056783E-009   0.000000000E+000
   0.61318528796205918E-008   0.538035838E-008   0.000000000E+000
   0.61472595451472767E-008   0.597077277E-008   0.000000000E+000
   0.61626662106739616E-008   0.175115300E-008   0.000000000E+000
   0.61780728762006465E-008  -0.381869114E-008   0.000000000E+000
   0.61934795417273314E-008  -0.629376817E-008   0.000000000E+000
   0.62088862072540163E-008  -0.378896781E-008   0.000000000E+000
   0.62242928727807012E-008   0.159011071E-008   0.000000000E+000
   0.62396995383073861E-008   0.551241142E-008   0.000000000E+000
   0.62551062038340710E-008   0.490648366E-008   0.000000000E+000
   0.62705128693607559E-008   0.362762709E-009   0.000000000E+000
   0.62859195348874408E-008  -0.442345849E-008   0.000000000E+000
   0.63013262004141257E-008  -0.565493607E-008   0.000000000E+000
   0.63167328659408106E-008  -0.244289411E-008   0.000000000E+000
   0.63321395314674955E-008   0.255989474E-008   0.000000000E+000
   0.63475461969941804E-008   0.534685851E-008   0.000000000E+000
   0.63629528625208653E-008   0.376440301E-008   0.000000000E+000
   0.63783595280475502E-008  -0.827352409E-009   0.000000000E+000
   0.63937661935742351E-008  -0.471769290E-008   0.000000000E+000
   0.64091728591009200E-008  -0.484204854E-008   0.000000000E+000
   0.64245795246276050E-008  -0.119379151E-008   0.000000000E+000
   0.64399861901542899E-008   0.324511418E-008   0.000000000E+000
   0.64553928556809748E-008   0.493915087E-008   0.000000000E+000
   0.64707995212076597E-008   0.261337196E-008   0.000000000E+000
   0.64862061867343446E-008  -0.179181048E-008   0.000000000E+000
   0.65016128522610295E-008  -0.473614481E-008   0.000000000E+000
   0.65170195177877144E-008  -0.392294375E-008   0.000000000E+000
   0.65324261833143993E-008  -0.880451267E-010   0.000000000E+000
   0.65478328488410842E-008   0.365705199E-008   0.000000000E+000
   0.65632395143677691E-008   0.434789005E-008   0.000000000E+000
   0.65786461798944540E-008   0.151173540E-008   0.000000000E+000
   0.65940528454211389E-008  -0.251873300E-008   0.000000000E+000
   0.66094595109478238E-008  -0.452167370E-008   0.000000000E+000
   0.66248661764745087E-008  -0.295992919E-008   0.000000000E+000
   0.66402728420011936E-008   0.842419468E-009   0.000000000E+000
   0.66556795075278785E-008   0.381870979E-008   0.000000000E+000
   0.66710861730545634E-008   0.363144115E-008   0.000000000E+000
   0.66864928385812483E-008   0.506123365E-009   0.000000000E+000
   0.67018995041079332E-008  -0.300987590E-008   0.000000000E+000
   0.67173061696346181E-008  -0.412184775E-008   0.000000000E+000
   0.67327128351613030E-008  -0.200758743E-008   0.000000000E+000
   0.67481195006879879E-008   0.157941482E-008   0.000000000E+000
   0.67635261662146728E-008   0.376181308E-008   0.000000000E+000
   0.67789328317413577E-008   0.284509127E-008   0.000000000E+000
   0.67943394972680426E-008  -0.368986397E-009   0.000000000E+000
   0.68097461627947276E-008  -0.327837379E-008   0.000000000E+000
