t              pw-with-periodic.fdtd_inbox_Ex_3_3_3.dat       incid
   0.00000000000000000E+000   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-010   0.000000000E+000   0.000000000E+000
   0.30813331053369808E-010   0.000000000E+000   0.000000000E+000
   0.46219996580054712E-010   0.000000000E+000   0.000000000E+000
   0.61626662106739616E-010   0.000000000E+000   0.000000000E+000
   0.77033327633424520E-010   0.000000000E+000   0.000000000E+000
   0.92439993160109424E-010   0.000000000E+000   0.000000000E+000
   0.10784665868679433E-009   0.000000000E+000   0.000000000E+000
   0.12325332421347923E-009   0.000000000E+000   0.000000000E+000
   0.13865998974016414E-009   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-009   0.000000000E+000   0.000000000E+000
   0.16947332079353394E-009   0.000000000E+000   0.000000000E+000
   0.18487998632021885E-009   0.000000000E+000   0.000000000E+000
   0.20028665184690375E-009   0.000000000E+000   0.352230186E-037
   0.21569331737358866E-009   0.000000000E+000   0.163524636E-036
   0.23109998290027356E-009   0.254311251E-035   0.735702994E-036
   0.24650664842695846E-009   0.149707528E-034   0.331333825E-035
   0.26191331395364337E-009   0.662152926E-034   0.145925785E-034
   0.27731997948032827E-009   0.282860973E-033   0.634027903E-034
   0.29272664500701318E-009   0.119329078E-032   0.271754320E-033
   0.30813331053369808E-009   0.494408700E-032   0.114908852E-032
   0.32353997606038298E-009   0.201775016E-031   0.479339780E-032
   0.33894664158706789E-009   0.812251609E-031   0.197252801E-031
   0.35435330711375279E-009   0.322607042E-030   0.800779901E-031
   0.36975997264043770E-009   0.126424878E-029   0.320711958E-030
   0.38516663816712260E-009   0.488824718E-029   0.126709357E-029
   0.40057330369380750E-009   0.186477565E-028   0.493866968E-029
   0.41597996922049241E-009   0.701882960E-028   0.189899551E-028
   0.43138663474717731E-009   0.260653457E-027   0.720327832E-028
   0.44679330027386222E-009   0.955028793E-027   0.269552842E-027
   0.46219996580054712E-009   0.345251408E-026   0.995107202E-027
   0.47760663132723202E-009   0.123145132E-025   0.362399657E-026
   0.49301329685391693E-009   0.433366624E-025   0.130201492E-025
   0.50841996238060183E-009   0.150474121E-024   0.461480024E-025
   0.52382662790728673E-009   0.515504627E-024   0.161355791E-024
   0.53923329343397164E-009   0.174246437E-023   0.556574304E-024
   0.55463995896065654E-009   0.581116871E-023   0.189397418E-023
   0.57004662448734145E-009   0.191218179E-022   0.635795463E-023
   0.58545329001402635E-009   0.620807910E-022   0.210557310E-022
   0.60085995554071125E-009   0.198864122E-021   0.687909555E-022
   0.61626662106739616E-009   0.628528523E-021   0.221711061E-021
   0.63167328659408106E-009   0.196000446E-020   0.704937919E-021
   0.64707995212076597E-009   0.603061317E-020   0.221118848E-020
   0.66248661764745087E-009   0.183078172E-019   0.684218034E-020
   0.67789328317413577E-009   0.548376673E-019   0.208868113E-019
   0.69329994870082068E-009   0.162067352E-018   0.629009657E-019
   0.70870661422750558E-009   0.472590825E-018   0.186869639E-018
   0.72411327975419049E-009   0.135970191E-017   0.547682332E-018
   0.73951994528087539E-009   0.385991591E-017   0.158352892E-017
   0.75492661080756029E-009   0.108115145E-016   0.451668780E-017
   0.77033327633424520E-009   0.298791368E-016   0.127093241E-016
   0.78573994186093010E-009   0.814753713E-016   0.352802623E-016
   0.80114660738761501E-009   0.219210128E-015   0.966136698E-016
   0.81655327291429991E-009   0.581928364E-015   0.261007671E-015
   0.83195993844098481E-009   0.152425453E-014   0.695624326E-015
   0.84736660396766972E-009   0.393934314E-014   0.182891777E-014
   0.86277326949435462E-009   0.100453999E-013   0.474374407E-014
   0.87817993502103953E-009   0.252750125E-013   0.121382159E-013
   0.89358660054772443E-009   0.627472385E-013   0.306398685E-013
   0.90899326607440933E-009   0.153700986E-012   0.763003213E-013
   0.92439993160109424E-009   0.371484717E-012   0.187444231E-012
   0.93980659712777914E-009   0.885905336E-012   0.454272796E-012
   0.95521326265446405E-009   0.208455996E-011   0.108609345E-011
   0.97061992818114895E-009   0.483977095E-011   0.256168893E-011
   0.98602659370783385E-009   0.110871390E-010   0.596051377E-011
   0.10014332592345188E-008   0.250609030E-010   0.136819054E-010
   0.10168399247612037E-008   0.558931339E-010   0.309825117E-010
   0.10322465902878886E-008   0.122999916E-009   0.692128160E-010
   0.10476532558145735E-008   0.267076389E-009   0.152532750E-009
   0.10630599213412584E-008   0.572205783E-009   0.331623506E-009
   0.10784665868679433E-008   0.120963761E-008   0.711259052E-009
   0.10938732523946282E-008   0.252315124E-008   0.150493151E-008
   0.11092799179213131E-008   0.519299936E-008   0.314131232E-008
   0.11246865834479980E-008   0.105458255E-007   0.646853904E-008
   0.11400932489746829E-008   0.211315161E-007   0.131403661E-007
   0.11554999145013678E-008   0.417799910E-007   0.263338311E-007
   0.11709065800280527E-008   0.815067196E-007   0.520621022E-007
   0.11863132455547376E-008   0.156894103E-006   0.101539584E-006
   0.12017199110814225E-008   0.297994319E-006   0.195368315E-006
   0.12171265766081074E-008   0.558466809E-006   0.370829554E-006
   0.12325332421347923E-008   0.103270202E-005   0.694381924E-006
   0.12479399076614772E-008   0.188425815E-005   0.128271847E-005
   0.12633465731881621E-008   0.339229655E-005   0.233756714E-005
   0.12787532387148470E-008   0.602608725E-005   0.420244896E-005
   0.12941599042415319E-008   0.105624649E-004   0.745324996E-005
   0.13095665697682168E-008   0.182676631E-004   0.130404023E-004
   0.13249732352949017E-008   0.311736840E-004   0.225082495E-004
   0.13403799008215866E-008   0.524905190E-004   0.383263214E-004
   0.13557865663482715E-008   0.872087767E-004   0.643805906E-004
   0.13711932318749565E-008   0.142963618E-003   0.106688618E-003
   0.13865998974016414E-008   0.231247162E-003   0.174415778E-003
   0.14020065629283263E-008   0.369073270E-003   0.281291170E-003
   0.14174132284550112E-008   0.581209490E-003   0.447539700E-003
   0.14328198939816961E-008   0.903100765E-003   0.702443649E-003
   0.14482265595083810E-008   0.138459401E-002   0.108766300E-002
   0.14636332250350659E-008   0.209454983E-002   0.166143046E-002
   0.14790398905617508E-008   0.312636653E-002   0.250365445E-002
   0.14944465560884357E-008   0.460434845E-002   0.372194289E-002
   0.15098532216151206E-008   0.669075735E-002   0.545845693E-002
   0.15252598871418055E-008   0.959310867E-002   0.789722241E-002
   0.15406665526684904E-008   0.135712130E-001   0.112715121E-001
   0.15560732181951753E-008   0.189431384E-001   0.158706512E-001
   0.15714798837218602E-008   0.260890163E-001   0.220450703E-001
   0.15868865492485451E-008   0.354514197E-001   0.302086845E-001
   0.16022932147752300E-008   0.475311466E-001   0.408372730E-001
   0.16176998803019149E-008   0.628766939E-001   0.544610210E-001
   0.16331065458285998E-008   0.820664987E-001   0.716503859E-001
   0.16485132113552847E-008   0.105682880E+000   0.929941908E-001
   0.16639198768819696E-008   0.134277776E+000   0.119068585E+000
   0.16793265424086545E-008   0.168329835E+000   0.150398120E+000
   0.16947332079353394E-008   0.208196491E+000   0.187409684E+000
   0.17101398734620243E-008   0.254061222E+000   0.230380505E+000
   0.17255465389887092E-008   0.305881649E+000   0.279385567E+000
   0.17409532045153941E-008   0.363342464E+000   0.334244937E+000
   0.17563598700420791E-008   0.425817251E+000   0.394485801E+000
   0.17717665355687640E-008   0.492347479E+000   0.459305316E+000
   0.17871732010954489E-008   0.561640859E+000   0.527564824E+000
   0.18025798666221338E-008   0.632093310E+000   0.597797632E+000
   0.18179865321488187E-008   0.701836467E+000   0.668246448E+000
   0.18333931976755036E-008   0.768811345E+000   0.736925185E+000
   0.18487998632021885E-008   0.830863059E+000   0.801704109E+000
   0.18642065287288734E-008   0.885852873E+000   0.860417068E+000
   0.18796131942555583E-008   0.931778789E+000   0.910978079E+000
   0.18950198597822432E-008   0.966895401E+000   0.951505482E+000
   0.19104265253089281E-008   0.989824891E+000   0.980434299E+000
   0.19258331908356130E-008   0.999645114E+000   0.996620715E+000
   0.19412398563622979E-008   0.995952606E+000   0.999413848E+000
   0.19566465218889828E-008   0.978888631E+000   0.988701224E+000
   0.19720531874156677E-008   0.949130714E+000   0.964914501E+000
