t              pw-in-box.fdtd_before_Ex_3_3_1.dat       incid
   0.19720531874156677E-008  -0.168905433E-003   0.742426753E+000
   0.19874598529423526E-008  -0.150237873E-003   0.673987091E+000
   0.20028665184690375E-008  -0.126016355E-003   0.603606224E+000
   0.20182731839957224E-008  -0.968959212E-004   0.533285797E+000
   0.20336798495224073E-008  -0.644781103E-004   0.464804441E+000
   0.20490865150490922E-008  -0.300240936E-004   0.399654657E+000
   0.20644931805757771E-008   0.483245094E-005   0.339002997E+000
   0.20798998461024620E-008   0.380261627E-004   0.283678293E+000
   0.20953065116291469E-008   0.682444515E-004   0.234181806E+000
   0.21107131771558318E-008   0.938320445E-004   0.190714717E+000
   0.21261198426825167E-008   0.113835275E-003   0.153221250E+000
   0.21415265082092017E-008   0.127088075E-003   0.121439107E+000
   0.21569331737358866E-008   0.133281574E-003   0.949515402E-001
   0.21723398392625715E-008   0.132488814E-003   0.732401162E-001
   0.21877465047892564E-008   0.125659863E-003   0.557315461E-001
   0.22031531703159413E-008   0.113871130E-003   0.418366529E-001
   0.22185598358426262E-008   0.985070656E-004   0.309824776E-001
   0.22339665013693111E-008   0.809198755E-004   0.226350129E-001
   0.22493731668959960E-008   0.623913802E-004   0.163135678E-001
   0.22647798324226809E-008   0.442617129E-004   0.115989950E-001
   0.22801864979493658E-008   0.276049650E-004   0.813574903E-002
   0.22955931634760507E-008   0.132187579E-004   0.562957767E-002
   0.23109998290027356E-008   0.152400662E-005   0.384292332E-002
   0.23264064945294205E-008  -0.731461387E-005   0.258792378E-002
   0.23418131600561054E-008  -0.134120965E-004   0.171927153E-002
   0.23572198255827903E-008  -0.170326366E-004   0.112678274E-002
   0.23726264911094752E-008  -0.184964902E-004   0.728521787E-003
   0.23880331566361601E-008  -0.181665346E-004   0.464673503E-003
   0.24034398221628450E-008  -0.164967987E-004   0.292385434E-003
   0.24188464876895299E-008  -0.140061284E-004   0.181497526E-003
   0.24342531532162148E-008  -0.111634245E-004   0.111144625E-003
   0.24496598187428997E-008  -0.831080797E-005   0.671441812E-004
   0.24650664842695846E-008  -0.565423034E-005   0.400162171E-004
   0.24804731497962695E-008  -0.330281978E-005   0.235269799E-004
   0.24958798153229544E-008  -0.131846946E-005   0.136457738E-004
   0.25112864808496393E-008   0.256765588E-006   0.780797654E-005
   0.25266931463763243E-008   0.140996917E-005   0.440738540E-005
   0.25420998119030092E-008   0.216195986E-005   0.245428532E-005
   0.25575064774296941E-008   0.255784607E-005   0.134827371E-005
   0.25729131429563790E-008   0.267882751E-005   0.730689692E-006
   0.25883198084830639E-008   0.265144308E-005   0.390651081E-006
   0.26037264740097488E-008   0.259303533E-005   0.206041534E-006
   0.26191331395364337E-008   0.253507892E-005   0.107206738E-006
   0.26345398050631186E-008   0.243139084E-005   0.550288100E-007
   0.26499464705898035E-008   0.224862788E-005   0.278656120E-007
   0.26653531361164884E-008   0.202557999E-005   0.139202907E-007
   0.26807598016431733E-008   0.183915665E-005   0.686006674E-008
   0.26961664671698582E-008   0.173194462E-005   0.333518213E-008
   0.27115731326965431E-008   0.168414022E-005   0.159960090E-008
   0.27269797982232280E-008   0.164519042E-005   0.756839258E-009
   0.27423864637499129E-008   0.157600857E-005   0.353270718E-009
   0.27577931292765978E-008   0.146458501E-005   0.162671751E-009
   0.27731997948032827E-008   0.132708919E-005   0.738951747E-010
   0.27886064603299676E-008   0.120441189E-005   0.331156179E-010
   0.28040131258566525E-008   0.113345800E-005   0.146402907E-010
   0.28194197913833374E-008   0.110383201E-005   0.638506912E-011
   0.28348264569100223E-008   0.105968024E-005   0.274723148E-011
   0.28502331224367072E-008   0.959963813E-006   0.116606963E-011
   0.28656397879633921E-008   0.823786991E-006   0.488261233E-012
   0.28810464534900770E-008   0.705098898E-006   0.201694808E-012
   0.28964531190167619E-008   0.635737194E-006   0.821932922E-013
   0.29118597845434468E-008   0.603777494E-006   0.330427349E-013
   0.29272664500701318E-008   0.576141986E-006   0.131048287E-013
   0.29426731155968167E-008   0.528580870E-006   0.512719038E-014
   0.29580797811235016E-008   0.457630847E-006   0.197895907E-014
   0.29734864466501865E-008   0.378067966E-006   0.753537874E-015
   0.29888931121768714E-008   0.314921806E-006   0.283055435E-015
   0.30042997777035563E-008   0.287889890E-006   0.104890168E-015
   0.30197064432302412E-008   0.291062690E-006   0.383456381E-016
   0.30351131087569261E-008   0.291378853E-006   0.138291264E-016
   0.30505197742836110E-008   0.259399258E-006   0.492005374E-017
   0.30659264398102959E-008   0.201404362E-006   0.172688718E-017
   0.30813331053369808E-008   0.151607935E-006   0.597936605E-018
   0.30967397708636657E-008   0.134169355E-006   0.204240574E-018
   0.31121464363903506E-008   0.142003472E-006   0.688243738E-019
   0.31275531019170355E-008   0.150546768E-006   0.228798238E-019
   0.31429597674437204E-008   0.141689611E-006   0.750328264E-020
   0.31583664329704053E-008   0.113962656E-006   0.242756790E-020
   0.31737730984970902E-008   0.793843355E-007   0.774795907E-021
   0.31891797640237751E-008   0.551318919E-007   0.243948255E-021
   0.32045864295504600E-008   0.526095043E-007   0.757758329E-022
   0.32199930950771449E-008   0.674372131E-007   0.232198336E-022
   0.32353997606038298E-008   0.799692614E-007   0.701909659E-023
   0.32508064261305147E-008   0.714893460E-007   0.209327969E-023
   0.32662130916571996E-008   0.433318057E-007   0.615840191E-024
   0.32816197571838845E-008   0.168844192E-007   0.178731796E-024
   0.32970264227105694E-008   0.116841541E-007   0.511753606E-025
   0.33124330882372544E-008   0.261375934E-007   0.144548654E-025
   0.33278397537639393E-008   0.419285371E-007   0.402772233E-026
   0.33432464192906242E-008   0.433730136E-007   0.110721433E-026
   0.33586530848173091E-008   0.291962365E-007   0.300259821E-027
   0.33740597503439940E-008   0.962071134E-008   0.803256690E-028
   0.33894664158706789E-008  -0.255314880E-008   0.212001839E-028
   0.34048730813973638E-008   0.187315941E-009   0.551972613E-029
   0.34202797469240487E-008   0.147733425E-007   0.141770637E-029
   0.34356864124507336E-008   0.280962738E-007   0.359239984E-030
   0.34510930779774185E-008   0.267515663E-007   0.897979060E-031
   0.34664997435041034E-008   0.100022373E-007   0.221439611E-031
   0.34819064090307883E-008  -0.791205856E-008   0.538724616E-032
   0.34973130745574732E-008  -0.112811565E-007   0.129291366E-032
   0.35127197400841581E-008   0.132313360E-008   0.306098683E-033
   0.35281264056108430E-008   0.165841723E-007   0.714967233E-034
   0.35435330711375279E-008   0.206591864E-007   0.164740812E-034
   0.35589397366642128E-008   0.113012844E-007   0.374459379E-035
   0.35743464021908977E-008  -0.287835977E-008   0.844646752E-036
   0.35897530677175826E-008  -0.110767386E-007   0.187973046E-036
   0.36051597332442675E-008  -0.781478349E-008   0.405401251E-037
   0.36205663987709524E-008   0.397414901E-008   0.000000000E+000
   0.36359730642976373E-008   0.146696832E-007   0.000000000E+000
   0.36513797298243222E-008   0.148622412E-007   0.000000000E+000
   0.36667863953510071E-008   0.375506204E-008   0.000000000E+000
   0.36821930608776920E-008  -0.903535025E-008   0.000000000E+000
   0.36975997264043770E-008  -0.119841710E-007   0.000000000E+000
   0.37130063919310619E-008  -0.287722202E-008   0.000000000E+000
   0.37284130574577468E-008   0.922611232E-008   0.000000000E+000
   0.37438197229844317E-008   0.134002347E-007   0.000000000E+000
   0.37592263885111166E-008   0.703135861E-008   0.000000000E+000
   0.37746330540378015E-008  -0.339316131E-008   0.000000000E+000
   0.37900397195644864E-008  -0.936039513E-008   0.000000000E+000
   0.38054463850911713E-008  -0.692877222E-008   0.000000000E+000
   0.38208530506178562E-008   0.150535673E-008   0.000000000E+000
   0.38362597161445411E-008   0.930619937E-008   0.000000000E+000
   0.38516663816712260E-008   0.101026165E-007   0.000000000E+000
   0.38670730471979109E-008   0.292629920E-008   0.000000000E+000
   0.38824797127245958E-008  -0.618021989E-008   0.000000000E+000
   0.38978863782512807E-008  -0.906808140E-008   0.000000000E+000
   0.39132930437779656E-008  -0.320362492E-008   0.000000000E+000
   0.39286997093046505E-008   0.577076964E-008   0.000000000E+000
   0.39441063748313354E-008   0.968160840E-008   0.000000000E+000
   0.39595130403580203E-008   0.564646063E-008   0.000000000E+000
   0.39749197058847052E-008  -0.202504191E-008   0.000000000E+000
   0.39903263714113901E-008  -0.672890277E-008   0.000000000E+000
   0.40057330369380750E-008  -0.523279198E-008   0.000000000E+000
   0.40211397024647599E-008   0.717900850E-009   0.000000000E+000
   0.40365463679914448E-008   0.640807762E-008   0.000000000E+000
   0.40519530335181297E-008   0.742726680E-008   0.000000000E+000
   0.40673596990448146E-008   0.281178103E-008   0.000000000E+000
   0.40827663645714996E-008  -0.372081166E-008   0.000000000E+000
   0.40981730300981845E-008  -0.644393161E-008   0.000000000E+000
   0.41135796956248694E-008  -0.284184831E-008   0.000000000E+000
   0.41289863611515543E-008   0.374586318E-008   0.000000000E+000
   0.41443930266782392E-008   0.728217575E-008   0.000000000E+000
   0.41597996922049241E-008   0.486724616E-008   0.000000000E+000
   0.41752063577316090E-008  -0.857182769E-009   0.000000000E+000
   0.41906130232582939E-008  -0.476040984E-008   0.000000000E+000
   0.42060196887849788E-008  -0.393975519E-008   0.000000000E+000
   0.42214263543116637E-008   0.427130775E-009   0.000000000E+000
   0.42368330198383486E-008   0.471226702E-008   0.000000000E+000
   0.42522396853650335E-008   0.566583047E-008   0.000000000E+000
   0.42676463508917184E-008   0.257189714E-008   0.000000000E+000
   0.42830530164184033E-008  -0.213143969E-008   0.000000000E+000
   0.42984596819450882E-008  -0.447630377E-008   0.000000000E+000
   0.43138663474717731E-008  -0.231066988E-008   0.000000000E+000
   0.43292730129984580E-008   0.248154430E-008   0.000000000E+000
   0.43446796785251429E-008   0.554541835E-008   0.000000000E+000
   0.43600863440518278E-008   0.420683799E-008   0.000000000E+000
   0.43754930095785127E-008  -0.645274945E-010   0.000000000E+000
