t              pw-in-box.fdtd_before_Ex_3_3_1.dat       incid
2.03367986083307277e-09   1.35013389075376899e+00   4.65590286276850451e-01
2.04908652644544490e-09   1.25381338075805338e+00   4.00393995173839834e-01
2.06449319205781662e-09   1.15530455253774189e+00   3.39684146444331259e-01
2.07989985767018834e-09   1.05779338904231612e+00   2.84293539136478146e-01
2.09530652328256005e-09   9.63532472697615550e-01   2.34727028040223329e-01
2.11071318889493177e-09   8.73786582659270228e-01   1.91189131026335585e-01
2.12611985450730349e-09   7.88951121682578860e-01   1.53626868115128823e-01
2.14152652011967520e-09   7.08800466512245375e-01   1.21779945217950616e-01
2.15693318573204692e-09   6.32798430069408724e-01   9.52331720817206073e-02
2.17233985134441905e-09   5.60397464624030284e-01   7.34690580638755197e-02
2.18774651695679077e-09   4.91266127169971312e-01   5.59146458495270379e-02
2.20315318256916248e-09   4.25411112955322968e-01   4.19807730149285435e-02
2.21855984818153420e-09   3.63189886277920815e-01   3.10941632692250391e-02
2.23396651379390591e-09   3.05232645463502039e-01   2.27202189650549738e-02
2.24937317940627763e-09   2.52304384928930869e-01   1.63775804725793846e-02
2.26477984501864935e-09   2.05139078798221713e-01   1.16463646893753860e-02
2.28018651063102106e-09   1.64273848867065253e-01   8.17027315480978525e-03
2.29559317624339278e-09   1.29908522748386823e-01   5.65439550776110616e-03
2.31099984185576491e-09   1.01816968198792365e-01   3.86045952876049427e-03
2.32640650746813663e-09   7.93375166310126556e-02   2.60014621308101877e-03
2.34181317308050834e-09   6.14633978797955310e-02   1.72766586839798414e-03
2.35721983869288006e-09   4.70331765343783570e-02   1.13246484818458650e-03
2.37262650430525178e-09   3.49862825605510713e-02   7.32311903938752656e-04
2.38803316991762349e-09   2.46114019696586153e-02   4.67165167864482423e-04
2.40343983552999521e-09   1.56949969026226287e-02   2.94000158624532011e-04
2.41884650114236693e-09   8.49231850199378205e-03   1.82528862451000371e-04
2.43425316675473906e-09   3.50023943833376559e-03   1.11793945688651972e-04
2.44965983236711077e-09   1.09528034613089447e-03   6.75472242429377042e-05
2.46506649797948249e-09   1.17697626128444562e-03   4.02628145284295019e-05
2.48047316359185421e-09   2.98510385533197259e-03   2.36757227155348442e-05
2.49587982920422592e-09   5.21191139777707826e-03   1.37342376268119459e-05
2.51128649481659764e-09   6.41257937665973103e-03   7.85984250247653134e-06
2.52669316042896935e-09   5.57214780784336637e-03   4.43736685770672407e-06
2.54209982604134107e-09   2.58291525516788972e-03   2.47137537649087486e-06
2.55750649165371279e-09   -1.61540734681402598e-03   1.35787779532732972e-06
2.57291315726608492e-09   -5.35831780314273507e-03   7.36011424593491172e-07
2.58831982287845663e-09   -6.96024173561515108e-03   3.93559120403198187e-07
2.60372648849082835e-09   -5.51615384157177081e-03   2.07608274729992426e-07
2.61913315410320007e-09   -1.42643981474471510e-03   1.08039087103845885e-07
2.63453981971557178e-09   3.64596926255147686e-03   5.54649154312744716e-08
2.64994648532794350e-09   7.43398373869620654e-03   2.80909070040080871e-08
2.66535315094031522e-09   8.08711483942337224e-03   1.40350636347919859e-08
2.68075981655268693e-09   5.09012934442081358e-03   6.91773365563899754e-09
