t              pw-in-box.fdtd_inbox_Ex_3_3_3.dat       incid
1.92583320154647076e-09   -2.38871878647321800e+00   9.96507823646891944e-01
1.94123986715884248e-09   -2.78705033764050381e+00   9.99459661225445717e-01
1.95664653277121419e-09   -3.20712136172955908e+00   9.88903792946418170e-01
1.97205319838358591e-09   -3.64394858274094791e+00   9.65265752622084916e-01
1.98745986399595762e-09   -4.09246012065984566e+00   9.29488104272906179e-01
2.00286652960832934e-09   -4.54770716652965312e+00   8.82968023076834307e-01
2.01827319522070106e-09   -5.00499445229952222e+00   8.27466088209009132e-01
2.03367986083307277e-09   -5.45992481675098063e+00   7.64996651446701703e-01
2.04908652644544490e-09   -5.90837379013138442e+00   6.97706920656158358e-01
2.06449319205781662e-09   -6.34642672235675587e+00   6.27755652696841415e-01
2.07989985767018834e-09   -6.77031874751490204e+00   5.57201613013700303e-01
2.09530652328256005e-09   -7.17641431557783083e+00   4.87908301893752505e-01
2.11071318889493177e-09   -7.56124926635484940e+00   4.21471469285398914e-01
2.12611985450730349e-09   -7.92163816028753320e+00   3.59171880435102897e-01
2.14152652011967520e-09   -8.25482869028900978e+00   3.01953805063095160e-01
2.15693318573204692e-09   -8.55866996182180984e+00   2.50427980746751877e-01
2.17233985134441905e-09   -8.83175648647583067e+00   2.04894086588786439e-01
2.18774651695679077e-09   -9.07351591591523743e+00   1.65378834745662562e-01
2.20315318256916248e-09   -9.28422332083738766e+00   1.31684495292482329e-01
2.21855984818153420e-09   -9.46494278485037199e+00   1.03441224563926834e-01
2.23396651379390591e-09   -9.61741219782233792e+00   8.01597714672237505e-02
2.24937317940627763e-09   -9.74389487209860405e+00   6.12806773129175170e-02
2.26477984501864935e-09   -9.84702079563403565e+00   4.62162830677442724e-02
2.28018651063102106e-09   -9.92963333028027861e+00   3.43850876001626921e-02
2.29559317624339278e-09   -9.99464836441921101e+00   2.52376894046341081e-02
2.31099984185576491e-09   -1.00449270305278500e+01   1.82739952840126237e-02
2.32640650746813663e-09   -1.00831625511100675e+01   1.30533181056874704e-02
2.34181317308050834e-09   -1.01117855003032133e+01   9.19840965436963774e-03
2.35721983869288006e-09   -1.01328962492378043e+01   6.39453744871526682e-03
2.37262650430525178e-09   -1.01482343279406955e+01   4.38539614405742198e-03
2.38803316991762349e-09   -1.01591892890128257e+01   2.96696910680914428e-03
2.40343983552999521e-09   -1.01668475482946743e+01   1.98025853741772831e-03
2.41884650114236693e-09   -1.01720590153023398e+01   1.30386870297287383e-03
2.43425316675473906e-09   -1.01755016514607597e+01   8.46935667217473378e-04
2.44965983236711077e-09   -1.01777252506345715e+01   5.42714951329987356e-04
2.46506649797948249e-09   -1.01791672558235433e+01   3.43080483569385382e-04
2.48047316359185421e-09   -1.01801482197008664e+01   2.13956232852048498e-04
2.49587982920422592e-09   -1.01808652201910679e+01   1.31631190957442730e-04
2.51128649481659764e-09   -1.01814022331635279e+01   7.98905273772320632e-05
2.52669316042896935e-09   -1.01817661402888362e+01   4.78339872858930210e-05
2.54209982604134107e-09   -1.01819407698582740e+01   2.82541969268239527e-05
2.55750649165371279e-09   -1.01819380064529330e+01   1.64638607625184466e-05
2.57291315726608492e-09   -1.01818226284160058e+01   9.46423131223926990e-06
2.58831982287845663e-09   -1.01816987074489749e+01   5.36715648212633957e-06
2.60372648849082835e-09   -1.01816651020180906e+01   3.00265339343876294e-06
2.61913315410320007e-09   -1.01817652447470728e+01   1.65718590174839171e-06
2.63453981971557178e-09   -1.01819615206482972e+01   9.02282802761255406e-07
2.64994648532794350e-09   -1.01821526846234978e+01   4.84636191854172566e-07
2.66535315094031522e-09   -1.01822290450491337e+01   2.56799536181949223e-07
2.68075981655268693e-09   -1.01821371646940619e+01   1.34238853695712905e-07
2.69616648216505906e-09   -1.01819171866833003e+01   6.92251022415735043e-08
2.71157314777743078e-09   -1.01816882069856387e+01   3.52171625051485351e-08
2.72697981338980250e-09   -1.01815853232990978e+01   1.76746540730571939e-08
2.74238647900217421e-09   -1.01816810215469662e+01   8.75081475184833814e-09
2.75779314461454593e-09   -1.01819361897923724e+01   4.27416820156660624e-09
2.77319981022691764e-09   -1.01822129585580008e+01   2.05949500437102112e-09
2.78860647583928936e-09   -1.01823478340318676e+01   9.78972509693736167e-10
2.80401314145166108e-09   -1.01822472603858394e+01   4.59077468251673726e-10
2.81941980706403279e-09   -1.01819504100617539e+01   2.12377104650467979e-10
2.83482647267640492e-09   -1.01816181426727752e+01   9.69236197345085974e-11
2.85023313828877664e-09   -1.01814474932665053e+01   4.36372594826301009e-11
2.86563980390114836e-09   -1.01815560457409759e+01   1.93816961718231380e-11
2.88104646951352007e-09   -1.01819032808750620e+01   8.49231071049760273e-12
2.89645313512589179e-09   -1.01823002817732640e+01   3.67084527571416580e-12
2.91185980073826351e-09   -1.01825105659096522e+01   1.56535555735831011e-12
2.92726646635063522e-09   -1.01823895330553817e+01   6.58505259197539040e-13
2.94267313196300694e-09   -1.01819811947026064e+01   2.73282493949430447e-13
2.95807979757537866e-09   -1.01815088954577622e+01   1.11884867067704738e-13
2.97348646318775079e-09   -1.01812554228565340e+01   4.51886890356874777e-14
2.98889312880012250e-09   -1.01813953341140628e+01   1.80050638736914029e-14
3.00429979441249422e-09   -1.01818778797885034e+01   7.07728742442069520e-15
3.01970646002486593e-09   -1.01824373958182726e+01   2.74433648005188119e-15
3.03511312563723765e-09   -1.01827369538296502e+01   1.04981951528126190e-15
3.05051979124960937e-09   -1.01825693559524897e+01   3.96186296334080159e-16
3.06592645686198108e-09   -1.01819967675475098e+01   1.47496629805699857e-16
3.08133312247435280e-09   -1.01813368317736028e+01   5.41716093855244651e-17
3.09673978808672493e-09   -1.01809894223688921e+01   1.96276903722535521e-17
3.11214645369909665e-09   -1.01811965236710744e+01   7.01558607762669157e-18
3.12755311931146836e-09   -1.01818780563904863e+01   2.47380780869666355e-18
3.14295978492384008e-09   -1.01826527257536839e+01   8.60549941961136540e-19
3.15836645053621180e-09   -1.01830480127230540e+01   2.95313254690408836e-19
3.17377311614858351e-09   -1.01827859079205805e+01   9.99763541254138066e-20
3.18917978176095523e-09   -1.01819731664148083e+01   3.33902825106414564e-20
3.20458644737332695e-09   -1.01810686483970390e+01   1.10011742742408113e-20
3.21999311298569866e-09   -1.01806279565619597e+01   3.57573854013499623e-21
3.23539977859807079e-09   -1.01809649875154751e+01   1.14657175792068397e-21
3.25080644421044251e-09   -1.01819347909440090e+01   3.62687235455238696e-22
3.26621310982281423e-09   -1.01829845949966629e+01   1.13180429326405863e-22
3.28161977543518594e-09   -1.01834647996672327e+01   3.48433191841678131e-23
3.29702644104755766e-09   -1.01830277133908602e+01   1.05818748214833985e-23
3.31243310665992937e-09   -1.01818712913036862e+01   3.17039985753261918e-24
3.32783977227230109e-09   -1.01806611239642635e+01   9.37076250461382269e-25
3.34324643788467281e-09   -1.01801518048270481e+01   2.73231074722542962e-25
3.35865310349704494e-09   -1.01807200811767764e+01   7.85948091770106159e-26
3.37405976910941665e-09   -1.01820963396609461e+01   2.23032152374762087e-26
3.38946643472178837e-09   -1.01834806678862630e+01   6.24359440928814671e-27
3.40487310033416009e-09   -1.01840029463616553e+01   1.72429198356076795e-27
3.42027976594653180e-09   -1.01832655656398643e+01   4.69782843898787743e-28
3.43568643155890352e-09   -1.01816328448280444e+01   1.26263085442112897e-28
3.45109309717127524e-09   -1.01800630248720729e+01   3.34784139991826106e-29
3.46649976278364695e-09   -1.01795510990575799e+01   8.75717366440370234e-30
3.48190642839601867e-09   -1.01805029752395004e+01   2.25972314893150944e-30
3.49731309400839080e-09   -1.01824316721964916e+01   5.75249252937476711e-31
3.51271975962076252e-09   -1.01841943685724008e+01   1.44466750622770092e-31
3.52812642523313423e-09   -1.01846639496615019e+01   3.57907824938430539e-32
3.54353309084550595e-09   -1.01834441529852437e+01   8.74750848206086266e-33
3.55893975645787766e-09   -1.01811779258213857e+01   2.10915734451472371e-33
3.57434642207024938e-09   -1.01792207020367815e+01   5.01677096670432234e-34
3.58975308768262110e-09   -1.01788357424709623e+01   1.17719877750483230e-34
3.60515975329499281e-09   -1.01803852609740666e+01   2.72512976418975901e-35
3.62056641890736494e-09   -1.01830313779918562e+01   6.22321030182521198e-36
3.63597308451973666e-09   -1.01851769471986948e+01   1.40201401105863539e-36
3.65137975013210838e-09   -1.01854230959703838e+01   3.11603643681075340e-37
3.66678641574448009e-09   -1.01834736354435318e+01   6.83190474479797377e-38
3.68219308135685181e-09   -1.01804061411282500e+01   1.47771957498393234e-38
3.69759974696922353e-09   -1.01780886402691984e+01   3.15322528345421766e-39
3.71300641258159524e-09   -1.01780489783848616e+01   6.63752621956051582e-40
3.72841307819396696e-09   -1.01804766694951692e+01   1.37837954663006063e-40
3.74381974380633868e-09   -1.01840039869159398e+01   2.82386938907705666e-41
3.75922640941871039e-09   -1.01864641070031485e+01   5.70699929481917966e-42
3.77463307503108211e-09   -1.01862146932123121e+01   1.13784402966731741e-42
3.79003974064345382e-09   -1.01832232568510701e+01   2.23805803355301258e-43
3.80544640625582554e-09   -1.01792034095587347e+01   4.34256682464809292e-44
3.82085307186819808e-09   -1.01766457622445348e+01   8.31254044209936376e-45
3.83625973748056980e-09   -1.01772829171986725e+01   1.56976707022915259e-45
3.85166640309294152e-09   -1.01809294053595458e+01   2.92430268923353108e-46
3.86707306870531323e-09   -1.01854655057073966e+01   5.37430028418544931e-47
3.88247973431768495e-09   -1.01880567930438080e+01   9.74397627299471401e-48
3.89788639993005667e-09   -1.01869163829085601e+01   1.74275067317366381e-48
3.91329306554242838e-09   -1.01825198676251603e+01   3.07501477697735255e-49
3.92869973115480010e-09   -1.01774565630695744e+01   5.35271787541698239e-50
3.94410639676717182e-09   -1.01749173616663118e+01   9.19147725387086181e-51
3.95951306237954353e-09   -1.01766936245375526e+01   1.55707526886189009e-51
3.97491972799191525e-09   -1.01819359112051480e+01   2.60225362563421858e-52
3.99032639360428697e-09   -1.01875202975425019e+01   4.29015019241409661e-53
4.00573305921665868e-09   -1.01898969121876419e+01   6.97764913772950810e-54
4.02113972482903040e-09   -1.01873355723890029e+01   1.11959776671885524e-54
4.03654639044140211e-09   -1.01811547499438522e+01   1.77213498082638848e-55
4.05195305605377383e-09   -1.01750772291499842e+01   2.76723326539462082e-56
4.06735972166614555e-09   -1.01730011418161173e+01   4.26296294192909129e-57
4.08276638727851809e-09   -1.01765121002987922e+01   6.47825773591085312e-58
4.09817305289088981e-09   -1.01837165957834124e+01   9.71224284544975117e-59
4.11357971850326152e-09   -1.01902323778775017e+01   1.43647550184009348e-59
4.12898638411563324e-09   -1.01918403548108571e+01   2.09583345422615442e-60
4.14439304972800496e-09   -1.01872022383741818e+01   3.01668815035779142e-61
4.15979971534037667e-09   -1.01789021246436917e+01   4.28372933972108104e-62
4.17520638095274839e-09   -1.01720351903629425e+01   6.00056903554504411e-63
4.19061304656512011e-09   -1.01710940756357324e+01   8.29236524818337403e-64
4.20601971217749182e-09   -1.01770464063443882e+01   1.13053224699291938e-64
4.22142637778986354e-09   -1.01864944275435576e+01   1.52042578746788233e-65
4.23683304340223526e-09   -1.01935878324350782e+01   2.01726776898946376e-66
4.25223970901460697e-09   -1.01936315482779722e+01   2.64046867039615306e-67
4.26764637462697869e-09   -1.01861732017950377e+01   3.40937788204359196e-68
4.28305304023935041e-09   -1.01755519390172591e+01   4.34295968065123820e-69
4.29845970585172212e-09   -1.01683994546767043e+01   5.45778239150914123e-70
4.31386637146409384e-09   -1.01695149200366810e+01   6.76584702148644321e-71
4.32927303707646555e-09   -1.01786696631691989e+01   8.27456489683063861e-72
4.34467970268883810e-09   -1.01904545277216609e+01   9.98363156320978841e-73
4.36008636830120981e-09   -1.01974513203543840e+01   1.18824591718606165e-73
4.37549303391358153e-09   -1.01948855890354153e+01   1.39521667009005905e-74
4.39089969952595325e-09   -1.01838531122829838e+01   1.61621081139272401e-75
4.40630636513832496e-09   -1.01709578254502624e+01   1.84683292989590993e-76
4.42171303075069668e-09   -1.01643827740340775e+01   2.08197383785383075e-77
4.43711969636306840e-09   -1.01687155701024690e+01   2.31549902468371880e-78
4.45252636197544011e-09   -1.01817889791174814e+01   2.54030586357713798e-79
4.46793302758781183e-09   -1.01956890899996893e+01   2.74945110159860739e-80
4.48333969320018355e-09   -1.02015222834002568e+01   2.93581259845946189e-81
4.49874635881255526e-09   -1.01950853650200504e+01   3.09229938349086015e-82
4.51415302442492698e-09   -1.01798364822672003e+01   3.21331908736076223e-83
4.52955969003729870e-09   -1.01650984601048471e+01   3.29419413697437766e-84
4.54496635564967041e-09   -1.01603826274665128e+01   3.33130333209915697e-85
4.56037302126204213e-09   -1.01692734738729680e+01   3.32352407011143640e-86
4.57577968687441384e-09   -1.01867918883429205e+01   3.27120064045871561e-87
4.59118635248678556e-09   -1.02021310405569583e+01   3.17602525174282587e-88
4.60659301809915810e-09   -1.02052991485983782e+01   3.04215210214084488e-89
4.62199968371152982e-09   -1.01936015270382878e+01   2.87476472963668711e-90
4.63740634932390154e-09   -1.01737729446008451e+01   2.67972875447014251e-91
4.65281301493627325e-09   -1.01581471068392624e+01   2.46433724642962678e-92
4.66821968054864497e-09   -1.01570092079896632e+01   2.23580830899655889e-93
4.68362634616101669e-09   -1.01718575124390824e+01   2.00094360367540175e-94
4.69903301177338840e-09   -1.01939697079892060e+01   1.76667425008767783e-95
4.71443967738576012e-09   -1.02094835568994124e+01   1.53887716864949264e-96
4.72984634299813184e-09   -1.02080619516699898e+01   1.32225732721130712e-97
4.74525300861050355e-09   -1.01897422509898909e+01   1.12085630255619763e-98
4.76065967422287527e-09   -1.01654544188844174e+01   9.37368768547502604e-100
4.77606633983524699e-09   -1.01505402906808744e+01   7.73275478750870960e-101
4.79147300544761870e-09   -1.01550893051864488e+01   6.29333019103144395e-102
4.80687967105999042e-09   -1.01771614837797593e+01   5.05305627927835415e-103
4.82228633667236213e-09   -1.02034213223189081e+01   4.00211548925942549e-104
4.83769300228473385e-09   -1.02171563910278564e+01   3.12714644405084608e-105
4.85309966789710557e-09   -1.02088848057301522e+01   2.41065423826814716e-106
4.86850633350947811e-09   -1.01828371219396754e+01   1.83308294828639951e-107
4.88391299912184983e-09   -1.01549182465549190e+01   1.37515940086514991e-108
4.89931966473422154e-09   -1.01430329043171064e+01   1.01777749771782659e-109
