t              pw-in-box.fdtd_after_Ex_3_3_5.dat       incid
1.89501987032172691e-09   -9.99269335548186532e-01   7.13777482255928075e-01
1.91042653593409904e-09   -1.08951797720772237e+00   7.80133725663594291e-01
1.92583320154647076e-09   -1.17056581221169664e+00   8.41161554966281311e-01
1.94123986715884248e-09   -1.23953580901139260e+00   8.94734064189249723e-01
1.95664653277121419e-09   -1.29404416136614508e+00   9.38885258196084149e-01
1.97205319838358591e-09   -1.33238750508366532e+00   9.71930605463019681e-01
1.98745986399595762e-09   -1.35367973097891614e+00   9.92572434295420081e-01
2.00286652960832934e-09   -1.35792147668730490e+00   9.99984150632642566e-01
2.01827319522070106e-09   -1.34599324400065168e+00   9.93866909102936513e-01
2.03367986083307277e-09   -1.31957338378311584e+00   9.74467941986426833e-01
2.04908652644544490e-09   -1.28098947225308768e+00   9.42563987829829308e-01
2.06449319205781662e-09   -1.23302040837191407e+00   8.99411288502868778e-01
2.07989985767018834e-09   -1.17867271691937847e+00   8.46661889526448941e-01
2.09530652328256005e-09   -1.12095453553310254e+00   7.86259124759163819e-01
2.11071318889493177e-09   -1.06267056650646441e+00   7.20320156003633194e-01
2.12611985450730349e-09   -1.00625700427750431e+00   6.51012871629079282e-01
2.14152652011967520e-09   -9.53667580649049773e-01   5.80440468478088167e-01
2.15693318573204692e-09   -9.06315642104626895e-01   5.10540184310178780e-01
2.17233985134441905e-09   -8.65069824419481437e-01   4.43002572362101887e-01
2.18774651695679077e-09   -8.30294913728900297e-01   3.79216127463092800e-01
2.20315318256916248e-09   -8.01926404506859480e-01   3.20236937926961895e-01
2.21855984818153420e-09   -7.79565081506230939e-01   2.66784153307872474e-01
2.23396651379390591e-09   -7.62578824814535650e-01   2.19256785898833545e-01
2.24937317940627763e-09   -7.50200683451790695e-01   1.77766551751056934e-01
2.26477984501864935e-09   -7.41614459742541365e-01   1.42184062722907650e-01
2.28018651063102106e-09   -7.36023079572061922e-01   1.12190586294221142e-01
2.29559317624339278e-09   -7.32697633639730284e-01   8.73304709439481353e-02
2.31099984185576491e-09   -7.31007178007597402e-01   6.70623732168099812e-02
2.32640650746813663e-09   -7.30432144807081629e-01   5.08038846524605306e-02
2.34181317308050834e-09   -7.30564800956740146e-01   3.79680844017458857e-02
2.35721983869288006e-09   -7.31100420277599250e-01   2.79926507550614968e-02
2.37262650430525178e-09   -7.31823230746933229e-01   2.03598490889749517e-02
2.38803316991762349e-09   -7.32590099571517550e-01   1.46086034590466301e-02
2.40343983552999521e-09   -7.33314051878328654e-01   1.03406119805376541e-02
2.41884650114236693e-09   -7.33949261099170247e-01   7.22086652786502192e-03
2.43425316675473906e-09   -7.34478193316000727e-01   4.97434433842182475e-03
2.44965983236711077e-09   -7.34901149366754325e-01   3.38053601418732055e-03
2.46506649797948249e-09   -7.35228341793529361e-01   2.26642425815229030e-03
2.48047316359185421e-09   -7.35474312697835808e-01   1.49899477746840196e-03
2.49587982920422592e-09   -7.35654382765678183e-01   9.78052124327271439e-04
2.51128649481659764e-09   -7.35782765619230172e-01   6.29550005285294976e-04
2.52669316042896935e-09   -7.35871822620379756e-01   3.99762014188207479e-04
2.54209982604134107e-09   -7.35931937897091992e-01   2.50423766414962362e-04
2.55750649165371279e-09   -7.35971614728484158e-01   1.54759167014413475e-04
2.57291315726608492e-09   -7.35997552794980914e-01   9.43495992134531491e-05
2.58831982287845663e-09   -7.36014675195094781e-01   5.67448162810761027e-05
2.60372648849082835e-09   -7.36026217375411296e-01   3.36681818786253639e-05
2.61913315410320007e-09   -7.36033997050730804e-01   1.97067825693554960e-05
2.63453981971557178e-09   -7.36038889456513190e-01   1.13792582597355041e-05
2.64994648532794350e-09   -7.36041394359409296e-01   6.48216490634525563e-06
2.66535315094031522e-09   -7.36042091193777392e-01   3.64274289975832123e-06
2.68075981655268693e-09   -7.36041807572001883e-01   2.01947658805497084e-06
2.69616648216505906e-09   -7.36041464742997809e-01   1.10447938833297686e-06
2.71157314777743078e-09   -7.36041735448538792e-01   5.95906943719869554e-07
2.72697981338980250e-09   -7.36042754282734579e-01   3.17176352200159272e-07
2.74238647900217421e-09   -7.36044089081088093e-01   1.66545263240680694e-07
2.75779314461454593e-09   -7.36045024521527647e-01   8.62711330375039171e-08
2.77319981022691764e-09   -7.36045014270805376e-01   4.40859177528818125e-08
2.78860647583928936e-09   -7.36044041921162018e-01   2.22251184704959286e-08
2.80401314145166108e-09   -7.36042669036842900e-01   1.10532422376326259e-08
2.81941980706403279e-09   -7.36041726308084843e-01   5.42295600162369270e-09
2.83482647267640492e-09   -7.36041819720857804e-01   2.62478063649837868e-09
2.85023313828877664e-09   -7.36042946752963445e-01   1.25328835435005621e-09
2.86563980390114836e-09   -7.36044466179001544e-01   5.90349750953016866e-10
2.88104646951352007e-09   -7.36045460300490229e-01   2.74333643761098227e-10
2.89645313512589179e-09   -7.36045287759900968e-01   1.25762004435776150e-10
2.91185980073826351e-09   -7.36043995449256472e-01   5.68747887527355767e-11
2.92726646635063522e-09   -7.36042326393573476e-01   2.53747784971640413e-11
2.94267313196300694e-09   -7.36041296196989214e-01   1.11682474377221840e-11
2.95807979757537866e-09   -7.36041577094581179e-01   4.84916897122451972e-12
2.97348646318775079e-09   -7.36043061864455228e-01   2.07712473442455808e-12
2.98889312880012250e-09   -7.36044888973841682e-01   8.77723516328895593e-13
3.00429979441249422e-09   -7.36045938834271163e-01   3.65891185485116616e-13
3.01970646002486593e-09   -7.36045517776419689e-01   1.50473500557431875e-13
3.03511312563723765e-09   -7.36043813255131463e-01   6.10474561318554305e-14
3.05051979124960937e-09   -7.36041823409281259e-01   2.44328250712842064e-14
3.06592645686198108e-09   -7.36040776232956717e-01   9.64705158657354258e-15
3.08133312247435280e-09   -7.36041373884950056e-01   3.75763453681360488e-15
3.09673978808672493e-09   -7.36043325776830959e-01   1.44388476090343569e-15
3.11214645369909665e-09   -7.36045478654736240e-01   5.47351492848509910e-16
3.12755311931146836e-09   -7.36046494337113777e-01   2.04690947560438929e-16
3.14295978492384008e-09   -7.36045679268121589e-01   7.55141761474223515e-17
3.15836645053621180e-09   -7.36043453087945720e-01   2.74836964024646990e-17
3.17377311614858351e-09   -7.36041142509286095e-01   9.86778922199389735e-18
3.18917978176095523e-09   -7.36040194261134983e-01   3.49511567043353043e-18
3.20458644737332695e-09   -7.36041271594774060e-01   1.22129648609482911e-18
3.21999311298569866e-09   -7.36043797075046857e-01   4.20996245135922047e-19
3.23539977859807079e-09   -7.36046253109390425e-01   1.43163308567475411e-19
3.25080644421044251e-09   -7.36047090334622234e-01   4.80290727399914703e-20
3.26621310982281423e-09   -7.36045702499703025e-01   1.58954823334520062e-20
3.28161977543518594e-09   -7.36042856041567495e-01   5.18966122609419577e-21
3.29702644104755766e-09   -7.36040275024415380e-01   1.67156945363754252e-21
3.31243310665992937e-09   -7.36039600381594772e-01   5.31136722427848133e-22
3.32783977227230109e-09   -7.36041349409650714e-01   1.66488177572693901e-22
3.34324643788467281e-09   -7.36044533554892633e-01   5.14851259853309389e-23
3.35865310349704494e-09   -7.36047209567217142e-01   1.57063791876778895e-23
3.37405976910941665e-09   -7.36047662028270544e-01   4.72677466336532747e-24
3.38946643472178837e-09   -7.36045499915051415e-01   1.40338316652173165e-24
3.40487310033416009e-09   -7.36041968154959481e-01   4.11038930741365819e-25
3.42027976594653180e-09   -7.36039237847242456e-01   1.18763642003438799e-25
3.43568643155890352e-09   -7.36039074966158724e-01   3.38538351796129580e-26
3.45109309717127524e-09   -7.36041701667494941e-01   9.51978119340191888e-27
3.46649976278364695e-09   -7.36045582238578744e-01   2.64082257673806181e-27
3.48190642839601867e-09   -7.36048314392155456e-01   7.22730890653032440e-28
3.49731309400839080e-09   -7.36048113100734480e-01   1.95122838921447611e-28
3.51271975962076252e-09   -7.36044972621176963e-01   5.19675269437934245e-29
3.52812642523313423e-09   -7.36040752806751075e-01   1.36547102550493992e-29
3.54353309084550595e-09   -7.36038083808462473e-01   3.53937334522635782e-30
3.55893975645787766e-09   -7.36038730044151990e-01   9.05027934591196793e-31
3.57434642207024938e-09   -7.36042428935127502e-01   2.28310292339211201e-31
3.58975308768262110e-09   -7.36046965615688498e-01   5.68174549186650896e-32
3.60515975329499281e-09   -7.36049493419021705e-01   1.39485488432749751e-32
3.62056641890736494e-09   -7.36048316751404919e-01   3.37835762184996280e-33
3.63597308451973666e-09   -7.36044021906492540e-01   8.07187274286076202e-34
3.65137975013210838e-09   -7.36039205524928852e-01   1.90253729738113367e-34
