1.999999989999999873e-11 4.019899109999999710e-14 9.572128209999999915e-02
3.999999979999999746e-11 -8.769664140000000633e-15 8.975192160000000641e-02
5.999999799999999845e-11 1.160543560000000030e-14 8.381217720000000426e-02
7.999999970000000468e-11 -1.713845809999999997e-14 7.976864279999999752e-02
1.000000009999999978e-10 -1.918422559999999974e-14 7.813611630000000252e-02
1.199999959999999969e-10 -1.617534770000000203e-15 7.881973679999999816e-02
1.399999979999999936e-10 4.129005079999999717e-14 8.139760050000000025e-02
1.599999989999999962e-10 1.825240939999999963e-13 8.527067300000000516e-02
1.800000009999999929e-10 1.832127519999999931e-13 8.977533880000000688e-02
2.000000029999999896e-10 1.821315719999999971e-13 9.427622709999999850e-02
2.200000039999999922e-10 1.812770450000000067e-13 9.823834150000000653e-02
2.399999919999999938e-10 1.820849109999999982e-13 1.012752060000000065e-01
2.599999940000000163e-10 1.830335470000000025e-13 1.031714600000000065e-01
2.799999949999999931e-10 1.824957560000000117e-13 1.038815230000000034e-01
2.999999970000000157e-10 1.815165589999999877e-13 1.035081739999999945e-01
3.199999989999999865e-10 1.818029779999999993e-13 1.022669370000000022e-01
3.400000000000000150e-10 1.827565330000000078e-13 1.004425879999999993e-01
3.600000019999999858e-10 1.826943539999999881e-13 9.834435580000000510e-02
3.800000040000000084e-10 1.818109190000000022e-13 9.626522660000000342e-02
4.000000049999999851e-10 1.816830650000000117e-13 9.444966170000000660e-02
4.200000070000000077e-10 1.824627550000000021e-13 9.307213870000000111e-02
4.400000089999999786e-10 1.827424660000000097e-13 9.222745150000000169e-02
4.600000100000000070e-10 1.820902639999999874e-13 9.193200619999999934e-02
4.799999839999999876e-10 1.816979460000000020e-13 9.213422979999999485e-02
4.999999860000000101e-10 1.822108140000000055e-13 9.273148330000000050e-02
5.199999880000000327e-10 1.826752999999999981e-13 9.359028939999999852e-02
5.399999890000000094e-10 1.823044890000000091e-13 9.456712750000000056e-02
5.599999910000000320e-10 1.818044280000000033e-13 9.552709010000000334e-02
5.799999920000000088e-10 1.820368399999999881e-13 9.635858980000000518e-02
5.999999940000000313e-10 1.825414549999999945e-13 9.698293360000000141e-02
6.199999959999999505e-10 1.824352839999999939e-13 9.735851730000000259e-02
6.399999970000000306e-10 1.819532070000000067e-13 9.747992460000000359e-02
6.599999989999999498e-10 1.819492640000000035e-13 9.737282989999999916e-02
6.800000009999999724e-10 1.823881759999999935e-13 9.708607199999999549e-02
7.000000019999999491e-10 1.824834910000000048e-13 9.668214619999999926e-02
7.200000039999999717e-10 1.821019600000000021e-13 9.622763839999999569e-02
7.400000059999999942e-10 1.819364020000000094e-13 9.578462690000000279e-02
7.600000069999999710e-10 1.822497099999999951e-13 9.540402890000000691e-02
7.800000089999999935e-10 1.824667260000000003e-13 9.512128679999999614e-02
8.000000110000000161e-10 1.822258840000000060e-13 9.495461730000000211e-02
8.200000119999999929e-10 1.819774120000000096e-13 9.490551049999999822e-02
8.400000140000000154e-10 1.821470490000000063e-13 9.496125580000000510e-02
8.600000160000000380e-10 1.824079759999999880e-13 9.509866679999999517e-02
8.800000170000000147e-10 1.823068879999999874e-13 9.528848530000000316e-02
9.000000190000000373e-10 1.820480619999999998e-13 9.549984340000000627e-02
9.200000209999999565e-10 1.820865099999999943e-13 9.570418299999999823e-02
9.399999670000001018e-10 1.823303059999999995e-13 9.587829559999999640e-02
9.599999679999999751e-10 1.823461359999999894e-13 9.600622209999999657e-02
9.799999699999999977e-10 1.821273569999999924e-13 9.608003499999999419e-02
9.999999720000000203e-10 1.820674820000000123e-13 9.609948840000000214e-02
1.019999970000000066e-09 1.822552799999999894e-13 9.607085590000000175e-02
1.039999980000000042e-09 1.823484400000000037e-13 9.600513430000000292e-02
1.059999979999999973e-09 1.821961090000000087e-13 9.591600299999999968e-02
