t              shieldingEffectiveness.fdtd_front_Ex_1_1_1.dat       incid
   0.19258331908356130E-009   0.466992560E-005   0.903607870E-003
   0.19643498546523253E-009   0.527411248E-005   0.100730325E-002
   0.20028665184690375E-009   0.600398471E-005   0.112194754E-002
   0.20413831822857498E-009   0.678226752E-005   0.124857679E-002
   0.20798998461024620E-009   0.760106695E-005   0.138832198E-002
   0.21184165099191743E-009   0.854103746E-005   0.154239940E-002
   0.21569331737358866E-009   0.963374350E-005   0.171211956E-002
   0.21954498375525988E-009   0.108400973E-004   0.189890573E-002
   0.22339665013693111E-009   0.121572211E-004   0.210428564E-002
   0.22724831651860233E-009   0.136345579E-004   0.232989434E-002
   0.23109998290027356E-009   0.152977482E-004   0.257750996E-002
   0.23495164928194479E-009   0.171434094E-004   0.284902309E-002
   0.23880331566361601E-009   0.191868767E-004   0.314646191E-002
   0.24265498204528724E-009   0.214548418E-004   0.347200874E-002
   0.24650664842695846E-009   0.239668498E-004   0.382799422E-002
   0.25035831480862969E-009   0.267593205E-004   0.421688799E-002
   0.25420998119030092E-009   0.298762898E-004   0.464135595E-002
   0.25806164757197214E-009   0.333234639E-004   0.510422559E-002
   0.26191331395364337E-009   0.370986272E-004   0.560847949E-002
   0.26576498033531459E-009   0.412638401E-004   0.615733583E-002
   0.26961664671698582E-009   0.459060211E-004   0.675416552E-002
   0.27346831309865705E-009   0.510435093E-004   0.740255369E-002
   0.27731997948032827E-009   0.566660965E-004   0.810631923E-002
   0.28117164586199950E-009   0.628409980E-004   0.886946451E-002
   0.28502331224367072E-009   0.696746065E-004   0.969621167E-002
   0.28887497862534195E-009   0.772024650E-004   0.105910376E-001
   0.29272664500701318E-009   0.854309983E-004   0.115586463E-001
   0.29657831138868440E-009   0.944500789E-004   0.126039283E-001
   0.30042997777035563E-009   0.104386942E-003   0.137321055E-001
   0.30428164415202685E-009   0.115291616E-003   0.149485758E-001
   0.30813331053369808E-009   0.127184307E-003   0.162589718E-001
   0.31198497691536931E-009   0.140171906E-003   0.176692773E-001
   0.31583664329704053E-009   0.154406560E-003   0.191856269E-001
   0.31968830967871176E-009   0.169974504E-003   0.208144188E-001
   0.32353997606038298E-009   0.186929014E-003   0.225623474E-001
   0.32739164244205421E-009   0.205391072E-003   0.244363304E-001
   0.33124330882372544E-009   0.225524593E-003   0.264434945E-001
   0.33509497520539666E-009   0.247452233E-003   0.285912640E-001
   0.33894664158706789E-009   0.271278230E-003   0.308872871E-001
   0.34279830796873911E-009   0.297151622E-003   0.333393365E-001
   0.34664997435041034E-009   0.325245550E-003   0.359555706E-001
   0.35050164073208157E-009   0.355720666E-003   0.387442000E-001
   0.35435330711375279E-009   0.388748187E-003   0.417136699E-001
   0.35820497349542402E-009   0.424515951E-003   0.448726974E-001
   0.36205663987709524E-009   0.463197561E-003   0.482300147E-001
   0.36590830625876647E-009   0.504983007E-003   0.517945290E-001
   0.36975997264043770E-009   0.550124270E-003   0.555753149E-001
   0.37361163902210892E-009   0.598875748E-003   0.595815629E-001
   0.37746330540378015E-009   0.651426031E-003   0.638223365E-001
   0.38131497178545137E-009   0.707977626E-003   0.683070496E-001
   0.38516663816712260E-009   0.768844562E-003   0.730448663E-001
   0.38901830454879383E-009   0.834361650E-003   0.780450031E-001
   0.39286997093046505E-009   0.904761662E-003   0.833167285E-001
   0.39672163731213628E-009   0.980271841E-003   0.888691321E-001
   0.40057330369380750E-009   0.106125360E-002   0.947111398E-001
   0.40442497007547873E-009   0.114810816E-002   0.100851573E+000
   0.40827663645714996E-009   0.124112424E-002   0.107299060E+000
   0.41212830283882118E-009   0.134057482E-002   0.114061892E+000
   0.41597996922049241E-009   0.144686864E-002   0.121148132E+000
   0.41983163560216363E-009   0.156045659E-002   0.128565565E+000
   0.42368330198383486E-009   0.168168265E-002   0.136321276E+000
   0.42753496836550609E-009   0.181087386E-002   0.144422397E+000
   0.43138663474717731E-009   0.194849237E-002   0.152875111E+000
   0.43523830112884854E-009   0.209503877E-002   0.161685154E+000
   0.43908996751051976E-009   0.225089910E-002   0.170858085E+000
   0.44294163389219099E-009   0.241644890E-002   0.180398256E+000
   0.44679330027386222E-009   0.259219809E-002   0.190309554E+000
   0.45064496665553344E-009   0.277868286E-002   0.200595096E+000
   0.45449663303720467E-009   0.297634257E-002   0.211257324E+000
   0.45834829941887589E-009   0.318562472E-002   0.222297415E+000
   0.46219996580054712E-009   0.340706133E-002   0.233716011E+000
   0.46605163218221834E-009   0.364116253E-002   0.245513067E+000
   0.46990329856388957E-009   0.388839492E-002   0.257686555E+000
   0.47375496494556080E-009   0.414931169E-002   0.270234436E+000
   0.47760663132723202E-009   0.442451611E-002   0.283152908E+000
   0.48145829770890325E-009   0.471448060E-002   0.296437204E+000
   0.48530996409057447E-009   0.501960935E-002   0.310081691E+000
   0.48916163047224570E-009   0.534046022E-002   0.324079096E+000
   0.49301329685391693E-009   0.567772938E-002   0.338420957E+000
   0.49686496323558815E-009   0.603195745E-002   0.353097737E+000
   0.50071662961725938E-009   0.640349742E-002   0.368098915E+000
