f[Hz] z[ohm]
1000.0 0.11582824908403819
1072.2672220103232 0.11583011763614715
1149.7569953977356 0.11583226606063128
1232.8467394420659 0.11583473628438269
1321.9411484660286 0.11583757651766155
1417.4741629268046 0.11584084219653054
1519.9110829529332 0.11584459706689529
1629.7508346206434 0.11584891443150644
1747.5284000076829 0.11585387858452958
1873.817422860383 0.1158595864620362
2009.233002565048 0.11586614954110012
2154.434690031884 0.1158736960251928
2310.1297000831605 0.1158823733593628
2477.0763559917114 0.11589235112539482
2656.0877829466867 0.11590382437492285
2848.0358684358016 0.11591701746749558
3053.8555088334156 0.11593218849108626
3274.549162877728 0.11594963435474501
3511.191734215131 0.1159696966573246
3764.9358067924672 0.11599276845283586
4037.017258596554 0.11601930205244175
4328.761281083057 0.11604981802592455
4641.588833612782 0.11608491559230616
4977.023564332114 0.11612528462096879
5336.699231206312 0.1161717195020912
5722.36765935022 0.1162251351897144
6135.907273413176 0.11628658577377965
6579.332246575682 0.11635728600095561
7054.8023107186455 0.11643863624036817
7564.633275546291 0.11653225148249861
8111.308307896873 0.11663999507137952
8697.490026177833 0.11676401800672072
9326.0334688322 0.11690680482010828
10000.0 0.1170712272361699
10722.672220103232 0.11726060708630638
11497.569953977356 0.11747879026331318
12328.467394420659 0.11773023390842978
13219.411484660286 0.11802010953255346
14174.741629268046 0.11835442542311106
15199.11082952933 0.11874017252100678
16297.508346206436 0.11918549902682034
17475.284000076826 0.11969992039138126
18738.174228603828 0.1202945731709084
20092.33002565046 0.12098252362856923
21544.346900318866 0.12177914514512503
23101.29700083158 0.12270258274059188
24770.76355991714 0.12377432869297969
26560.87782946684 0.12501994090480426
28480.358684358045 0.12646994605526501
30538.555088334124 0.12816098370957976
32745.49162877732 0.1301372668348649
35111.91734215127 0.13245246046232148
37649.35806792471 0.1351721159305673
40370.17258596558 0.13837684604159292
43287.612810830615 0.14216648912918095
46415.88833612782 0.14666558783462968
49770.23564332114 0.15203059403251454
53366.99231206313 0.15845927609850174
57223.6765935022 0.166202764014347
61359.072734131754 0.17558029807093772
65793.32246575682 0.1869954884130717
70548.02310718645 0.2009494029472289
75646.33275546289 0.21803704164300522
81113.08307896872 0.23889360830573558
86974.90026177834 0.26401661311282293
93260.334688322 0.29333243057021713
100000.0 0.32538667420348255
107226.72220103232 0.3564300355230627
114975.69953977356 0.3807510551158306
123284.67394420659 0.3938882937998194
132194.11484660287 0.3967023891386124
141747.41629268046 0.3953028523564211
151991.1082952933 0.3974042784959645
162975.08346206468 0.41005495937544517
174752.84000076828 0.4400545735855965
187381.7422860387 0.49498320339464913
200923.3002565046 0.5801703583043076
215443.46900318866 0.6793307508839026
231012.9700083158 0.7298943550721869
247707.6355991714 0.7051920653334997
265608.7782946684 0.6761632942714467
284803.5868435805 0.7052466468013714
305385.55088334123 0.8287090108865428
327454.9162877732 1.0249568081971068
351119.1734215127 1.0552831996238148
376493.58067924716 0.9580035503146418
403701.72585965495 1.0146054975354741
432876.12810830615 1.3066387283368244
464158.8833612782 1.381106415471655
497702.35643321136 1.2266011749138928
533669.9231206313 1.4884507915922542
572236.765935022 1.7419999979428669
613590.7273413176 1.5036058259056342
657933.2246575683 1.9984287509092502
705480.2310718645 1.8530663514867711
756463.3275546291 2.09318160785044
811130.8307896872 2.219615501802103
869749.0026177834 2.4309897332338397
932603.3468832199 2.4003585802439233
1000000.0 3.131620886900064
