t              twoWires.fdtd_Bulk probe_Jx_15_11_13__15_13_17.dat
   0.45122000200906870E-009   0.544219842E-029
   0.45276000201592559E-009   0.674484139E-029
   0.45430000202278248E-009   0.835579151E-029
   0.45584000202963937E-009   0.103471805E-028
   0.45738000203649626E-009   0.128078178E-028
   0.45892000204335315E-009   0.158470015E-028
   0.46046000205021004E-009   0.195991749E-028
   0.46200000205706693E-009   0.242296657E-028
   0.46354000206392382E-009   0.299416685E-028
   0.46508000207078071E-009   0.369848334E-028
   0.46662000207763760E-009   0.456657309E-028
   0.46816000208449449E-009   0.563607088E-028
   0.46970000209135138E-009   0.695315178E-028
   0.47124000209820827E-009   0.857444956E-028
   0.47278000210506516E-009   0.105693976E-027
   0.47432000211192205E-009   0.130230829E-027
   0.47586000211877894E-009   0.160397248E-027
   0.47740000212563583E-009   0.197469353E-027
   0.47894000213249271E-009   0.243008905E-027
   0.48048000213934960E-009   0.298926572E-027
   0.48202000214620649E-009   0.367558698E-027
   0.48356000215306338E-009   0.451761150E-027
   0.48510000215992027E-009   0.555023158E-027
   0.48664000216677716E-009   0.681606107E-027
   0.48818000217363405E-009   0.836711983E-027
   0.48972000218049094E-009   0.102668889E-026
   0.49126000218734783E-009   0.125927941E-026
   0.49280000219420472E-009   0.154392338E-026
   0.49434000220106161E-009   0.189212544E-026
   0.49588000220791850E-009   0.231790021E-026
   0.49742000221477539E-009   0.283831249E-026
   0.49896000222163228E-009   0.347413303E-026
   0.50050000222848917E-009   0.425063331E-026
   0.50204000223534606E-009   0.519854406E-026
   0.50358000224220295E-009   0.635522369E-026
   0.50512000224905984E-009   0.776606598E-026
   0.50666000225591673E-009   0.948620569E-026
   0.50820000226277362E-009   0.115825789E-025
   0.50974000226963051E-009   0.141364152E-025
   0.51128000227648740E-009   0.172462574E-025
   0.51282000228334429E-009   0.210315818E-025
   0.51436000229020118E-009   0.256372029E-025
   0.51590000229705807E-009   0.312385652E-025
   0.51744000230391496E-009   0.380481266E-025
   0.51898000231077185E-009   0.463230772E-025
   0.52052000231762874E-009   0.563746072E-025
   0.52206000232448563E-009   0.685790805E-025
   0.52360000233134252E-009   0.833915217E-025
   0.52514000233819941E-009   0.101361835E-024
   0.52668000234505630E-009   0.123154253E-024
   0.52822000235191319E-009   0.149570739E-024
   0.52976000235877008E-009   0.181579338E-024
   0.53130000236562697E-009   0.220347882E-024
   0.53284000237248386E-009   0.267284638E-024
   0.53438000237934075E-009   0.324087233E-024
   0.53592000238619764E-009   0.392801085E-024
   0.53746000239305453E-009   0.475889857E-024
   0.53900000239991142E-009   0.576319443E-024
   0.54054000240676831E-009   0.697658921E-024
   0.54208000241362519E-009   0.844201963E-024
   0.54362000242048208E-009   0.102111082E-023
   0.54516000242733897E-009   0.123459019E-023
   0.54670000243419586E-009   0.149209451E-023
   0.54824000244105275E-009   0.180257537E-023
   0.54978000244790964E-009   0.217677844E-023
   0.55132000245476653E-009   0.262759786E-023
   0.55286000246162342E-009   0.317049745E-023
   0.55440000246848031E-009   0.382401823E-023
   0.55594000247533720E-009   0.461037805E-023
   0.55748000248219409E-009   0.555619427E-023
   0.55902000248905098E-009   0.669333411E-023
   0.56056000249590787E-009   0.805994333E-023
   0.56210000250276476E-009   0.970165833E-023
   0.56364000250962165E-009   0.116730541E-022
   0.56518000251647854E-009   0.140393749E-022
   0.56672000252333543E-009   0.168785736E-022
   0.56826000253019232E-009   0.202837675E-022
   0.56980000253704921E-009   0.243661290E-022
   0.57134000254390610E-009   0.292583240E-022
   0.57288000255076299E-009   0.351186360E-022
   0.57442000255761988E-009   0.421357715E-022
   0.57596000256447677E-009   0.505347073E-022
   0.57750000257133366E-009   0.605834510E-022
   0.57904000257819055E-009   0.726012104E-022
   0.58058000258504744E-009   0.869679831E-022
   0.58212000259190433E-009   0.104135950E-021
   0.58366000259876122E-009   0.124643014E-021
   0.58520000260561811E-009   0.149128651E-021
   0.58674000261247500E-009   0.178352994E-021
   0.58828000261933189E-009   0.213219005E-021
   0.58982000262618878E-009   0.254799018E-021
   0.59136000263304567E-009   0.304365888E-021
   0.59290000263990256E-009   0.363429961E-021
   0.59444000264675945E-009   0.433782571E-021
   0.59598000265361634E-009   0.517547482E-021
   0.59752000266047323E-009   0.617241577E-021
   0.59906000266733012E-009   0.735846272E-021
   0.60060000267418701E-009   0.876891926E-021
   0.60214000268104390E-009   0.104455715E-020
   0.60368000268790079E-009   0.124378591E-020
   0.60522000269475767E-009   0.148042499E-020
   0.60676000270161456E-009   0.176138660E-020
   0.60830000270847145E-009   0.209483833E-020
   0.60984000271532834E-009   0.249042878E-020
   0.61138000272218523E-009   0.295954904E-020
   0.61292000272904212E-009   0.351564402E-020
   0.61446000273589901E-009   0.417457537E-020
   0.61600000274275590E-009   0.495504815E-020
   0.61754000274961279E-009   0.587911189E-020
   0.61908000275646968E-009   0.697274644E-020
   0.62062000276332657E-009   0.826655628E-020
   0.62216000277018346E-009   0.979656737E-020
   0.62370000277704035E-009   0.116051816E-019
   0.62524000278389724E-009   0.137422795E-019
   0.62678000279075413E-009   0.162665164E-019
   0.62832000279761102E-009   0.192468401E-019
   0.62986000280446791E-009   0.227642593E-019
   0.63140000281132480E-009   0.269139158E-019
   0.63294000281818169E-009   0.318075082E-019
   0.63448000282503858E-009   0.375761172E-019
